episode,timestep,reward
20,400,-241.9396
42,800,-288.0121
65,1200,-263.7527
87,1600,-257.8602
108,2000,-265.0297
130,2400,-247.348
153,2800,-244.1427
174,3200,-267.5585
196,3600,-257.9893
222,4000,-232.7819
247,4400,-235.6875
278,4800,-213.386
305,5200,-237.3106
332,5600,-229.1147
360,6000,-212.5219
387,6400,-214.3555
418,6800,-209.0374
447,7200,-208.6401
479,7600,-206.0798
