episode,timestep,reward
2,200,-514.8381
4,400,-502.2502
7,600,-198.5471
11,800,-336.9356
14,1000,-459.8174
16,1200,-638.5144
18,1400,-360.7639
21,1600,-100.8608
25,1800,-143.5596
28,2000,-315.1372
32,2200,-245.4102
35,2400,-42.1491
38,2600,-142.6367
42,2800,-251.5354
45,3000,-268.2088
49,3200,-187.1817
52,3400,-167.9517
55,3600,-300.49
58,3800,-268.7298
62,4000,-250.5672
65,4200,-250.2943
68,4400,-269.6746
71,4600,-157.5787
74,4800,-258.3067
77,5000,-174.9869
