episode,timestep,reward
2,200,-17.5296
4,400,44.4911
7,600,15.7985
10,800,-17.6249
12,1000,-1.712
14,1200,-15.2576
16,1400,35.5039
18,1600,4.5257
20,1800,-15.8931
