episode,timestep,reward
5,400,-523.0908
8,800,-378.4983
16,1200,-411.3991
22,1600,-255.749
27,2000,-225.5469
32,2400,-193.7076
36,2800,-186.6431
41,3200,-228.4013
45,3600,-123.2125
49,4000,-171.3913
53,4400,-254.6986
